,2019,2020,2021,2022,2023,2024,2025
RTGZ,6.848015873015873,5.719987125844867,,,,,
KOGK,8.589285714285714,5.822992125984252,50.26821862348178,,,,
PRMB,6.195238095238095,5.906456692913386,2.635270541082164,,,,
ALNU,11.370238095238095,8.102623906705539,,,,,
URKZ,9.267460317460317,9.025196850393701,200.0592188156237,,,,
KRKN,8.183333333333334,10.133858267716535,5.686033519553073,,,,
CHKZ,27.84325396825397,24.058267716535433,19.41318907779495,3.9663677130044843,,,
MGTS,39.24722222222222,26.69228346456693,118.43147861926842,47.96079734219269,37.07142857142857,,
TRCN,38.448412698412696,27.572280178837556,,,,,
OMZZP,38.823015873015876,31.628976377952757,33.59479649665121,12.043034281546317,,,
DZRDP,34.34563492063492,32.00188976377953,124.79289026275116,47.595911265767725,,,
RKKE,22.952380952380953,33.28503937007874,284.1218444100979,141.80166112956812,38.88777339548225,,
MGNZ,17.034920634920635,38.72503937007874,31.06896551724138,,,,
NNSB,33.12777777777778,40.55905511811024,51.370942812982996,26.128205128205128,,,
DZRD,28.826190476190476,49.97889763779528,54.21200412158681,22.773139745916517,,,
UNKL,92.20714285714286,52.449133858267714,235.0149407521896,121.20265780730897,34.93144848954299,,
UCSS,74.08690476190476,54.135748031496064,114.32065217391305,,,,
ZILL,82.02222222222223,63.79905511811024,148.44281298299845,90.73787375415283,46.141723356009074,,
AVAN,97.45595238095238,70.50582677165355,919.8678516228748,627.9558139534884,180.70729366602689,,
KRKNP,34.570238095238096,79.39338582677165,134.9216898505925,133.6049833887043,25.65984251968504,7.880952380952381,
VSMO,39.631349206349206,98.17448818897638,78.7359608449253,238.75813953488372,162.64068241469818,120.06593014967926,
IGSTP,116.58055555555555,107.6251968503937,100.7091705306543,20.51827242524917,11.179245283018869,,
CHMK,43.8515873015873,119.98204724409449,299.1483771251932,195.9156146179402,39.28762755102041,,
TNSE,60.87460317460317,131.24503937007873,152.82277176713035,31.119592875318066,,,
NNSBP,93.38095238095238,146.81417322834645,121.70376094796497,34.675399361022365,,,
HALS,101.63650793650794,150.03198781416603,,,,,
IGST,81.62738095238095,153.176062992126,114.42941782586296,21.508970099667774,13.218867924528302,,
LNZL,59.419444444444444,199.85133858267716,429.47063369397216,215.96079734219268,135.8010498687664,28.434190620272314,
KMEZ,179.21507936507936,200.44188976377953,276.87892838742914,121.1202657807309,67.71676300578035,,
VJGZ,129.59404761904761,219.38204724409448,112.77408552292633,66.69269102990033,71.2746913580247,,
MGTSP,166.78412698412697,255.89826771653543,2174.7545079855745,3201.9870431893687,689.18687664042,225.88900634249472,
TRNFP,157.47261904761905,256.53543307086613,134.65868109222052,95.45016611295681,5540.679790026246,81020.39572471325,46325.44664031621
UKUZ,47.634126984126986,262.0337007874016,188.88768675940236,37.78429282160626,,,
GAZA,204.36111111111111,293.6157480314961,909.0005151983513,257.5130574527923,,,
GEMA,461.8384920634921,314.41259842519685,249.81530139103555,7786.995348837209,772.0710735586481,,
BRZL,166.88888888888889,330.1108661417323,254.60278207109738,632.2644518272425,187.5066055540577,,
VZRZP,381.0515873015873,368.2020997375328,,,,,
MFGS,246.78174603174602,456.3433070866142,383.70066975785676,331.41843971631204,,,
ELTZ,798.5011904761905,472.66267716535435,1734.5427614631633,2554.090243902439,,,
YRSB,316.484126984127,496.33385826771655,153.92788815305371,,,,
KGKCP,959.4722222222222,515.8456692913386,3866.5790829469347,1048.2222222222222,,,
KUBE,940.4920634920635,538.2488188976378,5064.657393096342,1314.0289126335638,,,
VJGZP,436.60714285714283,593.628346456693,274.16409067490986,74.1,69.13240418118467,,
ROSB,542.1904761904761,635.6976377952756,25978.92065945389,13519.837320574163,,,
KROT,222.07539682539684,668.8661417322835,5003.851107676455,1720.7242524916944,227.60432432432432,,
LNZLP,54.48095238095238,690.7461417322835,3385.6362699639362,1415.070099667774,625.8671916010499,246.4856815578465,
NAUK,618.1031746031746,764.4755905511811,1594.6831530139104,745.0265780730897,475.26730190571715,,
GCHE,219.04960317460316,826.9757480314961,827.6609994848017,1891.2906976744187,422.56535433070866,171.5630447414294,
NFAZ,782.2142857142857,860.1133858267716,2015.4533745492015,955.2990033222592,519.9051094890511,,
KBSB,320.12698412698415,862.2708661417323,886.6048428645029,222.52691218130312,,,
KBTK,3568.2658730158732,865.8655332302936,,,,,
PMSB,611.4087301587301,871.807874015748,5467.527047913447,15425.724252491695,2216.9212598425197,2885.123287671233,
MFGSP,307.4087301587302,920.5291338582678,485.99175682637815,231.7989417989418,,,
KAZTP,253.9920634920635,962.044094488189,1843.1117980422462,609.5548172757475,205.17742590336988,,
AKRN,311.4769841269841,996.6044094488188,886.1244204018548,296.68671096345514,183.36640419947506,34.329268292682926,
NKHP,456.10714285714283,1045.9779527559056,2063.799587841319,13098.890365448506,3878.8950131233596,4076.5802083333333,
KROTP,257.32936507936506,1053.6566929133858,590.7238536836683,176.66326530612244,,,
TUZA,793.7103174603175,1099.7259842519686,4976.998969603297,3604.322259136213,2004.9671193709792,,
PMSBP,1041.4126984126983,1110.7181102362206,2674.2168985059247,6935.239202657807,1720.5013123359581,1640.4205128205128,
RDRB,490.9920634920635,1128.0,2282.5450798557445,406.6673543063435,,,
CHEP,1191.3174603174602,1149.7070866141732,142.35294117647058,,,,
KGKC,746.8293650793651,1163.1653543307086,2227.447192168985,690.8857808857808,,,
YRSBP,700.968253968254,1310.831496062992,504.12416280267905,175.0955414012739,,,
BANE,647.3369047619047,1337.900472440945,1199.942297784647,7136.448172757475,3733.863779527559,1641.9928267800212,
INGR,875.9531746031746,1482.35937007874,1050.8444100978877,38.531182795698925,,,
NSVZ,341.27777777777777,1687.2818897637794,10755.4533745492,6926.893687707641,1550.4246614808412,,
SVAV,1813.4920634920634,2098.4944881889764,6998.150437918599,43535.09468438538,10543.714173228347,8379.616074287544,
KAZT,598.4285714285714,2422.9763779527557,3270.0953116950027,5012.544850498339,694.0721784776903,430.3488372093023,
PRTK,4686.126984126984,2441.153212520593,,,,,
SFIN,5584.7817460317465,2513.3700787401576,1528.248325605358,44149.01561461794,14451.165879265092,18045.398153177623,
ALBK,1676.2857142857142,2532.4653579676674,,,,,
CHGZ,2182.654761904762,2614.6897637795278,8198.974755280784,1699.5857704059363,,,
MRKK,5794.888888888889,2679.792125984252,35085.767645543536,13811.940199335548,5857.583333333333,,
BELU,249.09563492063492,2995.540787401575,3506.191653786708,6984.262126245847,15248.827559055118,35808.31699687174,35414.695984703634
RAVN,3721.2301587301586,3617.910447761194,,,,,
RUSI,2388.690476190476,3773.792125984252,10381.45285935085,2667.0697674418607,620.7657657657658,,
VRSBP,2892.063492063492,3939.496062992126,2333.9979392065948,582.8090405904059,,,
HNFG,11183.100793650794,3980.2828346456695,2517.977707006369,,,,
VRSB,3160.4761904761904,4142.9543307086615,10088.261205564142,2452.794019933555,526.6764582459085,,
NKSH,5553.452380952381,4168.944881889764,13785.342606903658,5056.578073089701,1733.2517162471395,,
LENT,1478.563492063492,4310.379842519685,4198.314786192685,3509.1224382553864,,,
CIAN,6580.2904761904765,4859.205669291338,8437.175940236992,6458.458333333333,,,
GTRK,6794.119047619048,4988.374803149606,32097.23080886141,105931.82392026579,64680.49868766404,21162.016933207902,
ENPL,5428.3015873015875,4994.258964143426,,,,,
MSTT,7320.738095238095,5218.236220472441,30707.176713034518,28366.08970099668,12366.690288713911,2663.6083916083917,
WTCM,9755.039682539682,5524.976377952756,24095.801133436373,8308.338870431893,2976.0843373493976,,
KRSBP,7744.920634920635,5579.086614173229,12341.499227202474,3650.736212624585,2667.8125,,
AQUA,1996.281746031746,5748.626771653543,4963.139876352396,20171.60265780731,8376.987664041995,4235.410901467505,
GEMC,5131.789285714286,5776.782047244094,6685.54533745492,1789.9421012269938,,,
MISB,4358.849206349207,5914.51968503937,5477.30551262236,1683.5434173669469,,,
JNOS,7462.103174603175,6309.007874015748,5709.119010819165,2297.3400297619046,,,
YAKG,10861.666666666666,6975.996850393701,13951.76197836167,13943.305647840532,5176.428318060893,,
ABRD,245.21428571428572,7287.203149606299,16163.23802163833,32091.720930232557,8413.984251968504,1520.2020018198361,
SMLT,5788.5448412698415,7307.261417322835,15343.03760947965,81329.50531561462,155354.14199475065,85841.84566596194,
WTCMP,9181.07142857143,7631.55905511811,29192.11746522411,12190.764119601328,3699.2872670807456,,
PHOR,4421.431349206349,7729.842204724409,8433.57341576507,8173.147840531561,5443.972440944882,4765.389468196037,4639.176391079071
RLMN,5902.1547619047615,7883.83937007874,4104.00426742532,,,,
KZOS,4291.940476190476,8019.584251968504,26769.461617722824,41501.32558139535,6547.031496062992,2933.0636108512626,
KMAZ,5069.210317460317,8722.551181102363,36705.01545595054,130434.42857142857,40644.62467191601,28098.070658342793,
MISBP,4123.055555555556,8801.1968503937,7260.741885625966,1794.4237918215613,,,
BANEP,4802.984523809524,9491.28566929134,10167.29829984544,30961.62823920266,15461.540419947507,5586.413451511991,3631.2574257425745
MAGE,21822.222222222223,9618.83464566929,88583.95157135498,31103.820598006645,10262.668632075472,,
JNOSP,6221.388888888889,10475.590551181102,12216.02266872746,3821.1889346674516,,,
NKNC,6454.253968253968,10600.784251968504,27542.0942812983,26406.996677740863,5215.569553805774,1646.0344522968198,
BISVP,11578.095238095239,11356.598425196851,22310.149407521894,7513.920265780731,2808.8052970651397,,
AGRO,2573.843253968254,11984.23968503937,15251.778722308089,21192.68704318937,20337.538582677167,10104.457800511509,
UWGN,13654.615873015873,12406.644094488189,62442.14966512107,1395803.3335548174,749596.9637795276,205082.40566318927,
PIKK,14845.349206349207,12503.15527559055,36539.909840288514,40356.90797342193,24547.884776902887,97726.18456725756,242334.67715617715
FIXP,16268.645238095238,12700.968503937007,24999.203245749613,37623.17574750831,20841.32546241637,,
KRSB,10097.063492063493,13280.913385826772,19711.076764554353,6785.681063122924,2933.5444319460066,,
LSRG,6922.750396825397,13321.289763779527,9979.42658423493,11103.65780730897,37130.13097112861,10155.199947862357,3732.37925445705
RNFT,2208.2079365079367,13793.542362204724,58192.54739824832,354409.0508305648,700674.1102362205,410277.80083420227,132616.09913793104
MAGEP,24395.634920634922,14054.07874015748,88421.94744976817,30934.883720930233,16290.988809766022,,
IRGZ,16899.52380952381,14322.929133858268,82256.1464690497,,,,
UTAR,9031.150793650793,14700.535433070867,34224.085522926325,60616.544850498336,12995.454580595284,,
POSI,8401.3,15063.454173228347,16420.29649665121,36002.56245847176,24657.620778110304,,
IRKT,11712.420634920634,15836.188976377953,85172.7202472952,367169.9335548173,619523.1758530184,227086.81417797887,
GLTR,15820.119047619048,16374.903937007874,21365.61746522411,43053.30531561462,50198.50228310502,,
EELT,27590.77380952381,16746.8062992126,23659.09840288511,116400.35880398672,18158.260385555255,,
VEON-RX,12959.757936507936,16777.297637795276,6726.804780876494,,,,
PLZL,9752.208333333334,17629.79527559055,9796.228490468831,13988.15681063123,13178.67847769029,11186.196819603754,45642.710713515844
RZSB,17284.68253968254,17931.24409448819,12418.959299330241,9113.023255813954,4015.6394957983193,,
ARSA,18966.666666666668,18404.472440944883,84344.4873776404,5608.765243902439,,,
LSNGP,23388.865079365078,20594.346456692914,25897.284904688306,40731.07641196013,25693.14435695538,15525.752858958069,
SELGP,9241.07142857143,22021.165354330707,21839.308855291576,,,,
ENPG,3074.954761904762,22026.929763779528,16068.431736218445,27985.29069767442,37967.362729658795,35480.19032536712,
KLSB,24987.777777777777,22907.055118110235,182757.95981452859,194608.47176079734,16977.84776902887,5069.697530864198,
FIVE,11748.521428571428,23386.28976377953,29776.9067490984,16630.831561461793,20843.358530183727,44575.41234221599,
LPSB,10320.714285714286,24301.574803149608,35822.95208655332,9888.60465116279,1310.0702576112412,,
GMKN,16688.499206349206,25602.781417322836,21684.215868109222,11473.6707641196,6892.78031496063,918671.1295620438,1225592.3258690552
TANL,56446.63888888889,25718.10079328045,,,,,
TCSG,26929.973015873016,27700.01417322835,34849.202472952085,20247.716943521595,72805.59343832021,319430.21364653244,
LVHK,9340.753968253968,28883.27559055118,24390.31427099433,12604.85049833887,4624.750288350634,,
MVID,29974.071428571428,31607.272440944882,40264.116692426585,52561.62159468439,137586.82729658793,102754.57481751825,202275.74128312414
ACKO,14725.873015873016,34128.8522226672,,,,,
DIOD,28096.071428571428,35419.71653543307,30368.134981968058,44704.45182724253,9500.339430284857,,
OZON,26470.074206349207,35492.851968503935,22002.38614116435,30433.94684385382,51222.891338582675,16279.54260651629,
CNTL,8529.52380952381,35919.02362204724,152733.51365275632,230621.82724252492,19664.358550879064,,
SLEN,18465.95238095238,36836.06299212598,108500.61823802163,49354.55149501661,17759.793957404654,,
ASTR,73265.76507936508,38190.84220472441,45885.41399336283,,,,
NKNCP,27429.801587301587,38815.2,31123.601236476043,52350.15282392027,15201.083989501312,4999.032475490196,
BSPBP,7176.706349206349,39195.33858267716,30011.257083977333,6576.128597122302,,,
ETLN,38474.68373015873,41538.10393700787,74553.05899021123,64423.492691029904,89229.34508440914,,
MGNT,27459.7626984127,43683.25858267717,26245.174394641937,18180.816279069768,29112.340157480314,25083.77189781022,22132.983329816416
RTKMP,27924.876984126986,44298.831496062994,22743.784131890778,160389.0631229236,143361.15748031496,120466.5263295099,55199.457364341084
SVET,1279.829365079365,44692.36503937008,33739.68547140649,61199.98620921628,,,
VGSB,54846.42857142857,47242.20472440945,43019.57753735188,11866.674074074073,,,
VGSBP,57886.50793650794,50928.503937007874,50601.236476043276,8695.463243873979,,,
BLNG,30192.5,51208.0,346444.6161772282,372765.4485049834,113012.23333333334,14599.776286353468,
GECO,369070.123015873,51294.23622047244,12712.338323353293,,,,
LNTA,12518.629365079365,52708.29700787402,21986.2704778157,,,,
OKEY,10551.436507936507,60215.17165354331,52986.236476043276,22462.38248292487,,,
SELG,39136.19047619047,61964.03149606299,76261.46573930963,398218.5382059801,545563.1994750656,224737.5294577685,124543.24929971989
LSNG,50364.880952380954,62633.1968503937,550188.7686759402,271250.4318936877,48259.0813648294,19917.756952841595,
BSPB,19566.25,65479.12125984252,59240.60535806286,269944.56478405313,117515.56430446194,58613.415015641294,27012.362880886427
CNTLP,42483.968253968254,70091.81102362205,273807.7279752705,286136.5448504983,29463.858267716536,16172.932226832641,
KZOSP,20362.420634920636,75177.92440944882,194101.73879443586,177918.9800664452,21285.35695538058,4296.983084577115,
RBCM,46073.4126984127,76868.50393700787,56115.22411128284,592005.8139534884,305834.19947506563,90720.38591269842,
ABIO,13524.761904761905,78394.04724409449,157177.9108706852,93264.74086378737,70634.45144356956,10182.572012257406,
VKCO,127361.44563492063,78470.85669291338,159974.48299845442,286384.2465116279,215465.19257884973,,
MTLRP,48302.8373015873,80656.11023622047,147781.11282843896,90414.13289036545,257629.60367454067,279903.91293013556,109913.55942750466
WUSH,67519.1,83580.00755905511,181535.5847501288,394566.86635220126,,,
POLY,30455.659126984126,85960.30236220472,100674.82302936631,125027.9757475083,149043.11259842518,48241.126305792975,
YNDX,37060.043650793654,87054.6337007874,48783.312982998454,88997.19833887042,62640.98241469816,109753.87403903015,
PRFN,135649.60317460317,89713.03937007874,623401.2364760432,772334.8837209302,162211.1811023622,17056.67118644068,
RENI,33478.468253968254,96134.08188976378,78391.06903657908,62402.02189490446,,,
TATNP,47513.98134920635,96334.16,79652.01828954148,42011.19634551495,35842.241732283466,40524.699165797705,29276.17146513116
CHMF,86465.09484126983,97666.06078740157,99739.95749613602,76991.4172757475,61453.881364829394,73516.86027111574,56063.02821052632
RASP,73986.30952380953,111498.66771653543,129274.19371458012,134679.7607973422,68719.55905511811,29568.49921793535,57475.796178343946
SOFL,207452.17857142858,112302.88818897637,103743.42829076621,,,,
SPBE,98867.28928571429,112965.21700787402,181824.93997939207,368976.380730897,459681.1872756933,,
AMEZ,35686.666666666664,113745.10236220472,234580.73158165894,146707.7408637874,128949.61575408261,,
STSB,115886.90476190476,118520.62992125984,144112.5708397733,79311.62790697675,29965.088113050708,,
RUGR,41168.77380952381,120752.55118110236,91260.47913446678,85419.92073976222,,,
LKOH,84451.5003968254,123126.91338582677,77680.20273055126,61686.357142857145,62312.903149606296,60289.39025026069,47339.710648148146
SAGO,137094.44444444444,125213.54330708661,127674.90984028851,50119.71079628725,,,
SAGOP,250166.66666666666,127106.14173228346,64817.36218444101,22693.80299785867,,,
ROLO,169371.42857142858,133223.30708661416,2070006.6460587326,31523972.42524917,4657217.585301837,1046504.8589108911,
FESH,73413.76984126984,133505.29133858267,214834.54404945904,573518.803986711,443543.16535433073,210818.97810218978,99889.58288190683
DVEC,86213.09523809524,134635.27559055117,1731479.649665121,2148484.0531561463,214617.32283464566,29381.17657992565,
NVTK,63607.80357142857,136178.70456692914,104552.18186501804,108299.53222591362,64218.49265091863,155965.3613138686,186547.55175345376
FLOT,212006.20238095237,138345.41417322835,837755.3657908294,399993.06976744183,415755.22309711284,159377.54859967052,
ASSB,132311.90476190476,139273.07086614173,174398.50592478103,127117.2757475083,123974.10986203373,,
APTK,107456.44047619047,142036.55748031495,48920.54095826893,573344.4485049833,348100.89501312334,61604.934566787,
SIBN,58338.69841269841,173643.31023622048,91001.80370942813,52278.26777408638,82233.76981627296,75403.80578727841,34906.93628318584
RUSP,215261.90476190476,176700.08285004142,,,,,
RTSB,256580.55555555556,176879.05511811023,130291.85986604843,57035.4114713217,,,
TASB,289289.68253968254,181980.7874015748,184583.46213292118,36064.87148102815,,,
EUTR,563744.476984127,183371.09543307088,90082.78056840714,,,,
YKEN,301091.2698412698,240762.20472440944,744487.3776403916,225075.54103715802,,,
TRMK,143606.39682539683,246454.25196850393,105678.22256568779,268653.27574750833,194789.9527559055,137954.22445255474,28810.902111324376
RTSBP,345591.2698412698,260233.07086614173,187171.04585265327,66106.13370089594,,,
MRSB,270642.85714285716,260888.18897637795,681736.2184441009,253189.48111935265,,,
LIFE,89969.24603174604,263239.2440944882,1001231.8907779495,2608939.069767442,449897.79527559056,80775.27603787326,
YKENP,240091.26984126985,266085.03937007877,382233.38485316845,238553.0546623794,,,
RTKM,156581.37301587302,268519.86299212597,154884.10097887687,114376.18604651163,226278.27296587927,430189.97132429614,436663.0039638846
KCHEP,163698.4126984127,278500.7874015748,98246.65676077266,,,,
MGKL,1055962.3015873015,287329.3858267717,199375.52015437392,,,,
MTSS,227127.15873015873,346955.04535433074,241917.4523441525,167252.41528239203,230668.06299212598,287439.2179353493,186376.30474375264
MSST,379554.84126984124,350483.5590551181,487349.38875305624,,,,
DSKY,82752.5,369447.7423622047,166321.0973724884,371675.488372093,43283.74278215223,17667.695139911633,
STSBP,112044.04761904762,373971.6535433071,230038.38227717672,131804.6511627907,40580.25352649638,,
TASBP,259027.77777777778,373977.9527559055,174833.6395074666,,,,
TATN,163283.10555555555,388189.3206299213,315584.66022668727,119598.11362126246,171411.4905511811,158351.93430656934,117885.97333897588
MTLR,116032.06507936509,392111.3911811024,545848.1269963937,437736.47142857144,1334725.6223097113,1458644.2625130345,649594.8520379676
TORS,147837.3015873016,458948.031496063,166296.56953153817,,,,
TORSP,202595.2380952381,542699.2125984252,354080.370942813,337390.4422310757,,,
SARE,450396.8253968254,557918.1102362205,1368773.8279237507,338929.11442542786,,,
NMTP,210983.8492063492,572666.8031496063,478107.52189592994,4918403.023255814,1350592.4934383202,717303.3795620438,351572.7083333333
NLMK,465712.2698412698,583159.6894488189,733055.306543019,480439.415282392,411138.2283464567,692736.5797705944,467399.0962510531
MSRS,803661.9047619047,641678.7401574804,672226.9448737764,4549136.544850498,1643755.1181102362,912838.6966413868,
POGR,956494.0488095238,654164.5039370079,1307717.101937658,,,,
CARM,2444797.9365079366,668561.5748031496,178620.17471016446,,,,
SBERP,452616.64285714284,734625.6541732283,356909.0133951571,664699.830564784,307738.89763779525,241896.69708029198,164019.97429414245
ROSN,358963.2817460318,761306.9001574803,505296.52575991757,472329.2734219269,231036.1992125984,292436.39442127215,293814.98800252576
SIBG,541131.3095238095,878632.7559055118,4274257.535816619,,,,
ORUP,105731.71031746031,996803.3660748017,,,,,
RSTIP,696607.5396825396,1010362.8346456693,468793.02649930265,,,,
UNAC,376676.5873015873,1047675.5905511811,1677450.0257599177,17429204.318936877,18592547.769028872,5435350.429789826,
MRKU,958904.7619047619,1048831.4960629921,3118243.1736218445,12268754.15282392,4997790.026246719,2466168.6183150182,
KCHE,293214.28571428574,1057744.8818897638,613503.3487892839,292074.1987654321,,,
MOEX,798464.7103174604,1071997.9133858269,564614.4744976816,450017.82724252495,488771.0813648294,438248.9259645464,394350.17492096947
SAREP,520380.95238095237,1088916.535433071,530193.199381762,505308.5485893417,,,
RUAL,752734.9444444445,1154417.4418897638,1779964.5723853684,922276.1627906977,1009533.532808399,1601953.8816475496,1273449.894423628
TTLK,755063.4920634921,1181426.7716535432,2430323.8021638333,10238378.0730897,881265.6167979003,296344.857928506,
MRKS,1226698.4126984128,1235423.622047244,3660097.8876867592,5462613.289036545,1177535.3622047245,513813.4328358209,
ALRS,1260867.361111111,1686814.6661417324,1570310.0721277692,1086274.7142857143,1195758.4776902888,1289120.106882169,829022.7939814815
AFLT,427002.48412698414,1851300.6582677166,847214.6316331788,846607.1395348837,1067466.031496063,2130879.9504692387,1805880.8728153296
MAGN,880214.8015873015,1931720.2743307087,2159208.5625965996,1823850.096345515,1264478.787401575,1530849.62721585,1516803.1088420595
MRKY,2747789.6825396824,2040919.68503937,10381208.14013395,55601149.50166113,10452635.170603674,2603353.4146634615,
MSNG,1215784.126984127,2044584.251968504,1208425.296239052,8073673.754152824,1865535.4330708662,1296985.9228362879,698431.4094903339
DASB,1845714.2857142857,2094422.9921259843,14146576.128093159,,,,
RGSS,35407547.222222224,2407096.692913386,1365129.3147861927,4464832.890365449,1337684.776902887,265911.1067193676,
SNGSP,2724626.984126984,2630782.7070866143,2220182.3802163834,1447154.7508305649,2497733.8582677166,2595478.9442127217,1151099.5779564206
SVCB,2978705.595238095,2665013.196850394,2681213.5355366026,,,,
USBN,1256559.5238095238,2751511.811023622,3563232.869654817,6513375.415282392,1870935.886334197,,
MRKC,2371559.523809524,3561522.2047244096,4525106.130860381,17100471.42857143,6755944.619422572,5768382.996505242,
SGZH,2457653.5317460317,4058888.62992126,11643136.96548171,46101811.760797344,10310685.592163356,,
GTLC,2322321.0317460317,4220175.118110236,8548804.372842347,,,,
AFKS,2083442.0634920634,4287534.202519685,2456655.899021123,2389366.312292359,2197528.6351706036,8217625.260688217,5704372.209628008
CBOM,1068636.9444444445,4318303.1496063,5243002.627511592,4616830.0332225915,2825442.7034120737,855116.2930135558,749197.8292455034
SNGS,3648562.896825397,4417368.017637795,3382304.5852653272,2064316.3122923588,2084266.5091863517,3592222.3670490095,2191521.285956365
GAZP,3695759.9325396824,4452947.0,3635005.4301906233,4014343.102990033,1860671.5380577429,3265061.9343065694,4515794.998526936
MRKZ,6212337.301587301,4483077.165354331,18904415.2498712,85306445.18272425,23986068.241469815,7719637.8977572555,
SBER,4760042.003968254,5856022.653858268,3494200.1957753734,7307450.106312293,3570188.68503937,2771030.7116788323,2001920.351851852
ELFV,23857687.301587302,6899787.086614173,2995037.8145285933,6444450.800915332,,,
UPRO,3070651.1904761903,7233796.222362204,6365568.521380732,8777600.996677741,12421110.761154857,17808894.942648593,15490568.489587586
ENRU,3092703.5714285714,7440667.4015748035,5333348.016486348,15890262.382864792,,,
TGKBP,65305039.68253968,8426929.133858267,180134518.28954148,96213986.71096346,12739010.79867642,,
MRKP,15630103.174603175,10586267.716535432,10048843.379701184,32562089.70099668,14242131.2335958,6922699.134715026,
MRKV,12119051.587301588,11185587.401574804,18801298.299845442,97294368.77076411,20883971.128608923,13068921.348669624,
OGKB,12345288.888888888,19670367.55905512,14453442.812982999,18449035.215946846,10986722.572178477,8533658.759124087,15568927.140223831
KUZB,6380678.571428572,20088333.858267717,10692465.224111283,16437966.777408637,2003876.7406824147,692962.9629629629,
IRAO,14994581.746031746,21585958.607559055,13981590.67490984,10952035.747508306,7032819.790026247,8551328.597497392,8427899.197326543
RSTI,19507878.57142857,26768262.371653542,12288157.650695518,13198234.427609427,,,
UGLD,87290509.92063493,86761354.96062993,45383070.371348314,,,,
HYDR,52373929.365079366,115850900.17165354,31254336.682122618,18981630.23255814,17064789.501312338,17141279.19708029,19085402.928085107
TGKN,109200000.0,117865196.8503937,586908809.8918084,822361661.1295681,567024985.7804737,,
TGKB,419800793.6507937,197868346.4566929,307838742.91602266,739257807.3089701,85416535.46535432,23812500.0,
FEES,115921329.36507936,214538497.64125985,92777843.89489953,104407342.19269103,226013493.43832022,192992833.68091762,146265788.3759009
TGKA,319300833.3333333,709542992.1259843,410769603.29726946,2127766478.4053156,544942965.8792651,286327216.0596976,127289830.50847457
VTBR,2514240964.285714,3379093815.3411026,3624919108.706852,4691686056.478405,8763358656.167978,3790948029.913712,4443676.707702155
AVAZ,,,,,,,
AVAZP,,,,,,,
CLSB,1525375.234521576,,,,,,
DIXY,,,,,,,
DMOB,,,,,,,
KTSB,,,,,,,
KTSBP,,,,,,,
MFON,5429.654054054054,,,,,,
MGFS,,,,,,,
MTKB,,,,,,,
QIWI,,,,,,,
RUAL_old,,,,,,,
URKA,20813.86775892335,,,,,,
